Percent of connections that are bidirected: 0.3944938440492476
rule_id, collapses, edges_approx, total_cost, rule_details
12, 8, 0, 229460, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593), (792, 593)]
39, 15, 0, 229291, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 689), ('type_1', 'type_1'), ('type_1', 689), (689, 847), (689, 849)]
23, 9, 0, 229206, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593), (1052, 593)]
11, 30, 0, 229207, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
157, 1, 3, 228553, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 609), ('type_0', 610), ('type_0', 255), ('type_1', 'type_1'), ('type_1', 255), (609, 255), (609, 610), (610, 609)]
21, 3, 10, 228581, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 6, 228602, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
31, 2, 8, 228627, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 5, 20, 228673, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 11, 228667, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
31, 2, 8, 228692, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 8, 31, 228757, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 8, 32, 228824, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 5, 18, 228866, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 8, 228891, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 2, 8, 228916, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 6, 24, 228897, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 2, 10, 228926, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 2, 6, 228947, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 3, 11, 228977, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 4, 18, 228972, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 5, 228992, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 1, 5, 229012, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 3, 12, 229044, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 3, 15, 229082, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 2, 10, 229111, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 2, 10, 229140, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 4, 229146, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 5, 229166, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 3, 15, 229204, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 3, 15, 229206, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 3, 15, 229244, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 3, 15, 229282, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 10, 229287, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 7, 35, 229361, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 2, 10, 229390, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
33, 2, 9, 229413, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
38, 1, 5, 229433, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 1, 5, 229441, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 2, 9, 229468, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 5, 229476, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 3, 16, 229516, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 15, 229518, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 2, 11, 229549, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 3, 18, 229593, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 5, 26, 229651, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 3, 18, 229695, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 4, 229713, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 3, 18, 229757, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 1, 6, 229767, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 6, 229789, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 5, 229797, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 4, 23, 229850, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 5, 30, 229856, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
31, 1, 6, 229878, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 4, 28, 229941, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
33, 1, 7, 229953, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 12, 82, 230116, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 8, 64, 230247, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 4, 30, 230266, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 8, 230292, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 8, 230318, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 2, 16, 230335, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 9, 72, 230481, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
33, 1, 8, 230495, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
48, 1, 8, 230221, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 125), ('type_0', 118), ('type_1', 'type_1'), ('type_1', 118), (118, 125), (125, 118)]
21, 3, 27, 230283, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 5, 41, 230371, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 3, 27, 230433, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 2, 18, 230478, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 18, 230499, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 2, 18, 230544, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 1, 9, 230572, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
33, 2, 16, 230589, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
11, 10, 85, 230760, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 10, 230790, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 2, 18, 230811, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 1, 10, 230841, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
31, 8, 80, 231004, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
51, 1, 10, 230974, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
11, 4, 39, 231059, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 10, 231089, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 7, 231113, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 4, 39, 231150, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
31, 2, 22, 231203, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 2, 22, 231256, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
0, 3, 33, 231294, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 1, 9, 231322, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
38, 1, 10, 231352, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
0, 6, 66, 231417, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
11, 6, 63, 231548, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 11, 231568, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 12, 231590, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
21, 1, 12, 231624, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 1, 11, 231656, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 1, 12, 231678, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
33, 1, 11, 231698, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
0, 1, 12, 231720, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
38, 2, 24, 231777, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 802), ('type_1', 'type_1'), ('type_1', 689), (689, 802)]
11, 4, 44, 231872, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
0, 2, 24, 231905, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 782), (782, 593)]
21, 3, 37, 231987, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
33, 1, 11, 232007, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 688), ('type_1', 'type_1'), ('type_1', 593), (593, 688), (688, 593)]
31, 2, 26, 232068, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
11, 3, 36, 232148, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
51, 1, 12, 232086, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 118), ('type_0', 766), ('type_1', 'type_1'), ('type_1', 118), (766, 118)]
11, 1, 11, 232118, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
31, 1, 12, 232152, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (593, 805)]
21, 2, 26, 232213, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 3, 33, 232287, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
21, 1, 13, 232323, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 593), ('type_1', 'type_1'), ('type_1', 593), (792, 593)]
11, 4, 51, 232432, [('type_0', 'type_0'), ('type_0', 'type_1'), ('type_0', 787), ('type_1', 'type_1'), ('type_1', 593), (787, 593)]
